"term" "freq"
"a a" 833
"a about" 322
"a after" 103
"a again" 76
"a all" 156
"a am" 138
"a amazing" 91
"a an" 72
"a and" 1921
"a ap" 54
"a are" 56
"a as" 178
"a at" 409
"a awesome" 113
"a b" 686
"a baby" 1927
"a babysitter" 59
"a bachelor" 66
"a back" 416
"a background" 167
"a backpack" 71
"a backup" 115
"a bacon" 61
"a bad" 4126
"a badass" 195
"a badge" 61
"a bag" 731
"a bagel" 86
"a bakery" 66
"a baking" 247
"a balance" 123
"a balanced" 150
"a bald" 54
"a ball" 619
"a balloon" 72
"a ban" 76
"a banana" 242
"a band" 692
"a bang" 151
"a bank" 272
"a banner" 89
"a bar" 756
"a barbie" 67
"a bargain" 124
"a barn" 61
"a barrel" 117
"a barrier" 62
"a bartender" 75
"a base" 232
"a baseball" 338
"a basement" 60
"a basic" 262
"a basket" 152
"a basketball" 216
"a bass" 57
"a bat" 130
"a batch" 171
"a bath" 268
"a bathroom" 148
"a battery" 65
"a battle" 272
"a bbq" 132
"a bday" 71
"a be" 65
"a beach" 298
"a bear" 235
"a beard" 143
"a beat" 268
"a beating" 59
"a beautiful" 3997
"a beautifully" 72
"a beauty" 169
"a because" 145
"a bed" 319
"a bedroom" 67
"a bee" 121
"a beer" 1494
"a before" 114
"a beginner" 71
"a beginning" 98
"a belated" 70
"a belgian" 72
"a belieber" 136
"a belief" 82
"a believer" 131
"a bell" 91
"a belly" 72
"a belt" 104
"a bench" 107
"a benefit" 112
"a best" 330
"a bet" 142
"a beta" 68
"a better" 3837
"a bf" 69
"a bicycle" 127
"a bid" 95
"a big" 9015
"a bike" 499
"a bikini" 78
"a bill" 315
"a billion" 330
"a bio" 76
"a bird" 450
"a birth" 54
"a birthday" 695
"a bit" 13191
"a bite" 287
"a bitter" 121
"a biz" 73
"a bizarre" 89
"a blackberry" 92
"a blank" 179
"a blanket" 266
"a blast" 2009
"a blend" 99
"a blender" 147
"a blessed" 538
"a blessing" 602
"a blizzard" 53
"a block" 323
"a blog" 1377
"a blogger" 189
"a blonde" 94
"a blood" 161
"a bloody" 171
"a blowout" 51
"a blue" 398
"a blunt" 165
"a blur" 102
"a bmw" 51
"a board" 204
"a boat" 383
"a body" 395
"a boil" 361
"a bold" 139
"a bond" 97
"a bone" 122
"a bonfire" 72
"a bonus" 253
"a boo" 84
"a book" 3471
"a bookstore" 58
"a boost" 117
"a boot" 61
"a booth" 115
"a border" 104
"a boring" 202
"a boss" 429
"a boston" 66
"a bottle" 1038
"a bouquet" 64
"a bout" 65
"a bow" 204
"a bowl" 851
"a box" 936
"a boy" 1082
"a boyfriend" 368
"a bracelet" 74
"a brain" 226
"a branch" 80
"a brand" 766
"a brat" 54
"a brave" 105
"a brazilian" 51
"a bread" 61
"a break" 1752
"a breakfast" 172
"a breath" 160
"a breeze" 127
"a brew" 71
"a brewer" 57
"a brewery" 97
"a brick" 174
"a bridal" 61
"a bride" 61
"a bridge" 266
"a brief" 585
"a bright" 426
"a brighter" 84
"a brilliant" 359
"a british" 278
"a bro" 69
"a broad" 152
"a broader" 76
"a broke" 70
"a broken" 475
"a broom" 53
"a brother" 201
"a brown" 194
"a brownie" 71
"a brush" 62
"a brutal" 100
"a bubble" 115
"a buck" 107
"a bucket" 240
"a buddy" 115
"a budget" 291
"a buffet" 65
"a bug" 201
"a building" 217
"a built" 76
"a bull" 75
"a bullet" 160
"a bully" 109
"a bum" 125
"a bummer" 157
"a bump" 68
"a bumper" 52
"a bun" 52
"a bunch" 2872
"a bundle" 70
"a bunny" 110
"a burden" 105
"a burger" 231
"a burning" 89
"a burrito" 118
"a bus" 499
"a business" 999
"a bust" 75
"a busy" 1004
"a but" 576
"a butterfly" 159
"a button" 285
"a buy" 73
"a buyer" 68
"a buzz" 110
"a by" 222
"a c" 522
"a cab" 258
"a cabinet" 55
"a cafe" 113
"a cage" 77
"a cake" 388
"a calendar" 89
"a california" 83
"a call" 1436
"a calm" 70
"a cameo" 67
"a camera" 342
"a camp" 77
"a campaign" 196
"a can" 426
"a can't" 62
"a candidate" 171
"a candle" 192
"a candy" 143
"a canvas" 75
"a cap" 61
"a cape" 61
"a capital" 81
"a car" 2012
"a card" 1124
"a cardboard" 60
"a care" 85
"a career" 555
"a carrot" 53
"a cartoon" 98
"a case" 759
"a cash" 99
"a casino" 82
"a cast" 126
"a casting" 66
"a castle" 62
"a casual" 129
"a cat" 670
"a catch" 131
"a category" 62
"a cause" 271
"a cave" 81
"a cd" 257
"a celeb" 63
"a celebration" 181
"a celebrity" 236
"a cell" 194
"a cellphone" 54
"a cent" 63
"a center" 89
"a central" 124
"a century" 192
"a certain" 1582
"a certificate" 57
"a certified" 81
"a chain" 157
"a chair" 308
"a challenge" 789
"a challenging" 69
"a champ" 136
"a champion" 137
"a championship" 150
"a chance" 4302
"a change" 968
"a chapter" 135
"a character" 507
"a charge" 137
"a charity" 167
"a charm" 127
"a charming" 90
"a chart" 54
"a chat" 187
"a cheap" 290
"a cheaper" 54
"a check" 317
"a cheese" 114
"a cheeseburger" 60
"a chef" 104
"a chemical" 71
"a cherry" 107
"a chest" 52
"a chicago" 116
"a chick" 221
"a chicken" 340
"a child" 2277
"a child's" 152
"a childhood" 69
"a chill" 113
"a chilly" 65
"a chip" 68
"a chocolate" 303
"a choice" 601
"a chore" 101
"a christmas" 578
"a chuckle" 55
"a chunk" 66
"a cigar" 91
"a circle" 268
"a circular" 63
"a circus" 70
"a citizen" 101
"a city" 655
"a civil" 145
"a claim" 113
"a class" 872
"a classic" 631
"a classroom" 118
"a classy" 102
