"term" "freq"
"a beautiful day for" 74
"a beautiful day in" 214
"a beautiful day to" 80
"a better way to" 123
"a big fan of" 448
"a big part of" 154
"a big shout out" 52
"a big thank you" 237
"a big thanks to" 109
"a bit like a" 57
"a bit of a" 1042
"a bit of an" 136
"a bit of the" 97
"a bit of time" 75
"a bit on the" 51
"a bit out of" 57
"a bit too much" 72
"a bite to eat" 61
"a blast at the" 58
"a bottle of wine" 120
"a break from the" 82
"a bunch of new" 52
"a bunch of other" 72
"a bunch of people" 105
"a case of the" 81
"a certain amount of" 79
"a chance to be" 65
"a chance to check" 51
"a chance to get" 86
"a chance to make" 51
"a chance to meet" 74
"a chance to see" 111
"a chance to win" 607
"a close up of" 74
"a closer look at" 59
"a comment on this" 77
"a concert and meet" 53
"a copy of the" 272
"a copy of this" 56
"a couple days ago" 55
"a couple of days" 424
"a couple of hours" 254
"a couple of minutes" 107
"a couple of months" 220
"a couple of my" 84
"a couple of other" 62
"a couple of the" 109
"a couple of things" 85
"a couple of times" 210
"a couple of weeks" 609
"a couple of years" 350
"a couple weeks ago" 137
"a couple years ago" 96
"a cup of coffee" 198
"a cup of tea" 140
"a day in the" 91
"a day or so" 52
"a day or two" 130
"a day to remember" 51
"a deep breath and" 82
"a difference in the" 66
"a different kind of" 76
"a dream come true" 119
"a dream i was" 52
"a dream last night" 77
"a dream that i" 56
"a fair amount of" 99
"a fan of the" 246
"a few days after" 58
"a few days ago" 325
"a few days and" 94
"a few days before" 69
"a few days i" 81
"a few days later" 94
"a few days of" 51
"a few days to" 86
"a few drops of" 52
"a few hours later" 55
"a few hours of" 65
"a few minutes ago" 68
"a few minutes and" 66
"a few minutes before" 52
"a few minutes later" 73
"a few minutes to" 122
"a few months ago" 305
"a few months back" 82
"a few more days" 134
"a few more hours" 61
"a few more weeks" 53
"a few of my" 257
"a few of our" 53
"a few of the" 382
"a few of them" 111
"a few of these" 56
"a few of those" 71
"a few of you" 54
"a few pictures of" 54
"a few things i" 51
"a few things that" 63
"a few things to" 58
"a few times a" 51
"a few times and" 77
"a few weeks ago" 618
"a few weeks back" 90
"a few weeks later" 52
"a few years ago" 552
"a few years back" 160
"a few years later" 56
"a fine line between" 54
"a fraction of the" 72
"a free copy of" 74
"a friend of mine" 316
"a friend who is" 54
"a full day of" 75
"a full time job" 88
"a fun way to" 62
"a gift card to" 75
"a gift certificate to" 91
"a glass of water" 64
"a glass of wine" 236
"a glimpse of the" 57
"a good amount of" 66
"a good day and" 52
"a good day at" 75
"a good day for" 127
"a good day i" 121
"a good day to" 145
"a good day today" 71
"a good day when" 62
"a good deal of" 57
"a good example of" 72
"a good fit for" 52
"a good friend of" 67
"a good idea to" 271
"a good job of" 57
"a good look at" 53
"a good night's sleep" 57
"a good one i" 84
"a good place to" 170
"a good thing but" 52
"a good thing for" 51
"a good thing i" 135
"a good thing to" 51
"a good time and" 54
"a good time at" 61
"a good time for" 61
"a good time i" 52
"a good time to" 228
"a good time with" 65
"a good way to" 287
"a great addition to" 57
"a great day and" 135
"a great day at" 84
"a great day everyone" 66
"a great day for" 167
"a great day i" 202
"a great day in" 52
"a great day of" 62
"a great day to" 215
"a great day today" 90
"a great day with" 78
"a great deal of" 296
"a great example of" 67
"a great group of" 79
"a great job of" 80
"a great job with" 59
"a great mother's day" 54
"a great opportunity to" 56
"a great place for" 59
"a great place to" 245
"a great rest of" 62
"a great sense of" 57
"a great start to" 77
"a great time and" 124
"a great time at" 359
"a great time i" 71
"a great time in" 118
"a great time last" 63
"a great time to" 132
"a great time with" 168
"a great way to" 741
"a great weekend and" 114
"a great weekend everyone" 84
"a great weekend i" 126
"a great weekend na" 60
"a group of people" 108
"a happy mother's day" 74
"a happy new year" 120
"a hard time getting" 56
"a hard time with" 51
"a heck of a" 89
"a huge amount of" 60
"a huge fan of" 281
"a huge part of" 82
"a huge thank you" 115
"a job well done" 53
"a kick out of" 95
"a large mixing bowl" 63
"a large number of" 104
"a large part of" 58
"a link to a" 81
"a link to the" 124
"a link to your" 98
"a list of all" 61
"a list of the" 91
"a list of things" 54
"a little bit about" 84
"a little bit and" 54
"a little bit but" 52
"a little bit more" 172
"a little bit of" 792
"a little help from" 57
"a little late but" 71
"a little more about" 62
"a little more than" 121
"a little more time" 51
"a little on the" 66
"a little out of" 60
"a little over a" 93
"a little too much" 136
"a long day at" 62
"a long day of" 101
"a long list of" 67
"a long long time" 106
"a long time ago" 304
"a long time and" 160
"a long time but" 88
"a long time coming" 62
"a long time i" 193
"a long time since" 123
"a long time to" 154
"a long way from" 80
"a long way to" 150
"a look at the" 298
"a lot about the" 86
"a lot better than" 71
"a lot going on" 105
"a lot in the" 54
"a lot more than" 140
"a lot more to" 70
