"term" "freq"
"a and a" 156
"a and i" 112
"a and the" 63
"a and white" 55
"a at the" 95
"a baby and" 98
"a baby i" 61
"a baby in" 63
"a baby shower" 68
"a back up" 67
"a bad day" 310
"a bad habit" 75
"a bad idea" 293
"a bad mood" 162
"a bad one" 51
"a bad person" 72
"a bad thing" 410
"a bad time" 57
"a bad way" 107
"a bag of" 387
"a baking sheet" 132
"a ball and" 64
"a ball of" 53
"a bar and" 69
"a bar in" 55
"a baseball bat" 55
"a baseball game" 76
"a batch of" 127
"a beautiful and" 71
"a beautiful day" 1057
"a beautiful morning" 95
"a beautiful night" 57
"a beautiful place" 55
"a beautiful thing" 139
"a beautiful weekend" 59
"a beautiful woman" 58
"a bed of" 81
"a beer and" 119
"a beer in" 51
"a beer or" 51
"a beer that" 68
"a beer with" 58
"a best friend" 112
"a better chance" 101
"a better day" 101
"a better idea" 61
"a better job" 150
"a better life" 89
"a better one" 56
"a better person" 150
"a better place" 283
"a better time" 57
"a better tomorrow" 51
"a better way" 185
"a better world" 55
"a big boy" 60
"a big day" 115
"a big deal" 494
"a big difference" 161
"a big fan" 688
"a big game" 62
"a big girl" 70
"a big hit" 116
"a big hug" 75
"a big ol" 75
"a big one" 103
"a big part" 183
"a big problem" 59
"a big shout" 52
"a big smile" 68
"a big step" 51
"a big thank" 242
"a big thanks" 129
"a big way" 68
"a big win" 52
"a bike ride" 100
"a birthday card" 72
"a birthday party" 125
"a bit about" 149
"a bit and" 345
"a bit before" 58
"a bit better" 134
"a bit but" 176
"a bit different" 86
"a bit for" 54
"a bit i" 211
"a bit in" 113
"a bit late" 87
"a bit later" 51
"a bit less" 61
"a bit like" 243
"a bit longer" 108
"a bit more" 1032
"a bit much" 75
"a bit na" 71
"a bit nervous" 51
"a bit of" 3234
"a bit on" 116
"a bit out" 60
"a bit over" 68
"a bit so" 81
"a bit the" 63
"a bit then" 51
"a bit this" 55
"a bit to" 164
"a bit too" 315
"a bit with" 78
"a bite to" 65
"a blast and" 86
"a blast at" 130
"a blast i" 95
"a blast in" 54
"a blast with" 105
"a blend of" 80
"a blessed day" 237
"a blessing to" 131
"a block away" 55
"a block of" 65
"a blog about" 64
"a blog hop" 58
"a blog post" 303
"a boil and" 63
"a book about" 169
"a book and" 168
"a book by" 105
"a book called" 65
"a book for" 91
"a book i" 175
"a book in" 87
"a book is" 76
"a book of" 115
"a book on" 142
"a book or" 69
"a book that" 216
"a book to" 89
"a book with" 64
"a bottle of" 631
"a bowl and" 98
"a bowl of" 276
"a box of" 378
"a boy and" 67
"a boy or" 52
"a boy who" 70
"a brand new" 523
"a break and" 117
"a break for" 78
"a break from" 439
"a break i" 63
"a break in" 55
"a break to" 60
"a breath of" 68
"a british accent" 64
"a broken heart" 82
"a bucket of" 83
"a built in" 69
"a bunch of" 2498
"a busy day" 214
"a busy week" 134
"a busy weekend" 70
"a but i" 89
"a call at" 73
"a call for" 71
"a call from" 201
"a call to" 122
"a can of" 187
"a car accident" 118
"a car and" 113
"a car i" 62
"a car in" 62
"a car that" 51
"a car with" 70
"a card for" 116
"a card i" 92
"a card or" 56
"a card that" 60
"a card to" 59
"a card with" 74
"a career in" 82
"a case for" 52
"a case of" 325
"a celebration of" 75
"a cell phone" 131
"a certain age" 79
"a certain amount" 92
"a certain level" 55
"a certain point" 65
"a certain way" 103
"a challenge for" 67
"a challenge to" 83
"a chance and" 59
"a chance at" 111
"a chance for" 98
"a chance i" 95
"a chance of" 228
"a chance on" 66
"a chance to" 2426
"a change in" 155
"a change of" 150
"a character in" 58
"a child and" 119
"a child i" 124
"a child in" 109
"a child is" 102
"a child of" 99
"a child to" 63
"a child who" 90
"a child with" 78
"a choice of" 63
"a choice to" 53
"a christmas card" 59
"a christmas story" 52
"a christmas tree" 65
"a city that" 61
"a class act" 99
"a class on" 51
"a close friend" 51
"a close second" 60
"a close up" 133
"a closer look" 115
"a co worker" 81
"a coat of" 62
"a coffee shop" 114
"a cold and" 62
"a collection of" 317
"a college student" 55
"a combination of" 371
"a comic book" 64
"a comment and" 129
"a comment below" 85
"a comment here" 54
"a comment on" 262
"a commercial for" 89
"a commitment to" 68
"a community of" 51
"a company that" 101
"a completely different" 138
"a concert and" 70
"a concert in" 58
"a conference call" 87
"a conversation about" 64
"a conversation with" 214
"a cookie sheet" 56
"a copy of" 853
"a country where" 68
"a couple days" 300
"a couple hours" 231
"a couple months" 139
"a couple more" 273
"a couple of" 5409
"a couple other" 55
"a couple times" 143
"a couple weeks" 368
"a couple years" 189
"a coupon for" 59
"a cover of" 81
"a craving for" 52
"a crazy person" 51
"a credit card" 102
"a cross between" 78
"a crowd of" 64
"a crush on" 229
"a culture of" 74
"a cup of" 693
"a cure for" 85
"a cute little" 138
"a daily basis" 307
"a dash of" 120
"a date for" 52
"a date with" 156
"a day after" 69
"a day and" 274
"a day at" 132
"a day but" 69
"a day for" 181
"a day i" 240
"a day in" 257
"a day is" 56
"a day it" 51
"a day late" 58
"a day like" 90
"a day na" 52
"a day of" 389
"a day off" 316
"a day on" 55
"a day or" 242
"a day so" 60
"a day that" 122
"a day the" 57
"a day to" 346
"a day trip" 67
"a day weekend" 52
"a day when" 116
"a day with" 86
"a day without" 110
"a day you" 53
"a deal with" 114
"a dear friend" 98
"a decade ago" 83
"a decision to" 64
"a deep breath" 198
"a degree in" 115
"a degree of" 60
"a description of" 71
"a difference between" 149
"a difference in" 241
"a different kind" 88
"a different story" 102
"a different way" 133
"a difficult time" 67
"a dinner party" 60
"a direct link" 63
